is_race_on,timestamp_ms,engine_max_rpm,engine_idle_rpm,current_engine_rpm,acceleration_x,acceleration_y,acceleration_z,velocity_x,velocity_y,velocity_z,angular_velocity_x,angular_velocity_y,angular_velocity_z,yaw,pitch,roll,norm_suspension_travel_FL,norm_suspension_travel_FR,norm_suspension_travel_RL,norm_suspension_travel_RR,tire_slip_ratio_FL,tire_slip_ratio_FR,tire_slip_ratio_RL,tire_slip_ratio_RR,wheel_rotation_speed_FL,wheel_rotation_speed_FR,wheel_rotation_speed_RL,wheel_rotation_speed_RR,wheel_on_rumble_strip_FL,wheel_on_rumble_strip_FR,wheel_on_rumble_strip_RL,wheel_on_rumble_strip_RR,wheel_in_puddle_FL,wheel_in_puddle_FR,wheel_in_puddle_RL,wheel_in_puddle_RR,surface_rumble_FL,surface_rumble_FR,surface_rumble_RL,surface_rumble_RR,tire_slip_angle_FL,tire_slip_angle_FR,tire_slip_angle_RL,tire_slip_angle_RR,tire_combined_slip_FL,tire_combined_slip_FR,tire_combined_slip_RL,tire_combined_slip_RR,suspension_travel_meters_FL,suspension_travel_meters_FR,suspension_travel_meters_RL,suspension_travel_meters_RR,car_ordinal,car_class,car_performance_index,drivetrain_type,num_cylinders,position_x,position_y,position_z,speed,power,torque,tire_temp_FL,tire_temp_FR,tire_temp_RL,tire_temp_RR,boost,fuel,dist_traveled,best_lap_time,last_lap_time,cur_lap_time,cur_race_time,lap_no,race_pos,accel,brake,clutch,handbrake,gear,steer,norm_driving_line,norm_ai_brake_diff
1,856375,9999.9951171875,849.6089477539062,5498.11572265625,-0.8386939764022827,-0.6067440509796143,-2.5527238845825195,-0.010382652282714844,0.011873006820678711,31.29751968383789,0.009765388444066048,-0.00038999057142063975,-0.030314909294247627,-2.69429349899292,0.029223307967185974,0.0366518571972847,0.5305191874504089,0.44186362624168396,0.3696489632129669,0.3548397719860077,-0.019329335540533066,-0.022899964824318886,-0.03696902096271515,-0.03404385223984718,94.51678466796875,94.49267578125,87.70626068115234,87.72850799560547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008111500181257725,0.006437103729695082,0.006580399349331856,0.005477654282003641,0.020962338894605637,0.023787491023540497,0.037550102919340134,0.0344817116856575,0.006038747727870941,-0.000374404713511467,-0.0036040768027305603,-0.004628490656614304,2616,4,884,2,12,-5537.708984375,186.09597778320312,-398.6257629394531,31.297523498535156,-111268.578125,-193.23191833496094,175.38905334472656,172.78846740722656,176.6998291015625,176.6998291015625,-14.699999809265137,1.0,0.0,0.0,0.0,0.0,337.7685241699219,0,0,0,0,0,0,3,0,0,0
1,856406,9999.9951171875,849.6089477539062,5486.1630859375,-0.5537049770355225,-0.3669208884239197,-2.5135605335235596,-0.008563995361328125,0.007353305816650391,31.220035552978516,-0.008583754301071167,-0.0002861572429537773,-0.03827374428510666,-2.694305896759033,0.029214909300208092,0.0353500060737133,0.5648205876350403,0.4723582863807678,0.4122282862663269,0.3577197790145874,-0.01960582286119461,-0.02102339081466198,-0.033452678471803665,-0.03424100577831268,94.29637908935547,94.28723907470703,87.53262329101562,87.52761840820312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008379358798265457,0.006181470118463039,0.00646869046613574,0.006047110538929701,0.02132139727473259,0.02191331796348095,0.03407236188650131,0.03477087989449501,0.008520036935806274,0.0018315128982067108,-0.0006586834788322449,-0.004429269582033157,2616,4,884,2,12,-5538.224609375,186.06138610839844,-399.70196533203125,31.220033645629883,-110747.640625,-192.7427215576172,175.35179138183594,172.75157165527344,176.66424560546875,176.66424560546875,-14.699999809265137,1.0,0.0,0.0,0.0,0.0,337.8067321777344,0,0,0,0,0,0,3,0,0,0
1,856468,9999.9951171875,849.6089477539062,5474.13134765625,0.6973577737808228,-0.01356659084558487,-1.791451096534729,-0.006514549255371094,0.0034886598587036133,31.142959594726562,-0.020502984523773193,-0.0002890684991143644,-0.03680020943284035,-2.6943368911743164,0.028628546744585037,0.033909399062395096,0.5876358151435852,0.48075053095817566,0.449635773897171,0.40959644317626953,-0.01903649792075157,-0.02066447027027607,-0.03186162933707237,-0.03074578568339348,94.07796478271484,94.06878662109375,87.338623046875,87.34843444824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007599548436701298,0.005026603117585182,0.00532780634239316,0.005538317374885082,0.02049735188484192,0.021267041563987732,0.032304007560014725,0.031240619719028473,0.01017044484615326,0.002438591793179512,0.0019289515912532806,-0.0008407384157180786,2616,4,884,2,12,-5538.736328125,186.02728271484375,-400.7698974609375,31.14295768737793,-110218.515625,-192.24278259277344,175.3145751953125,172.7156982421875,176.6299591064453,176.6299591064453,-14.699999809265137,1.0,0.0,0.0,0.0,0.0,337.8447265625,0,0,0,0,0,0,3,0,0,0
1,856484,9999.9951171875,849.6089477539062,5460.88427734375,0.5107976794242859,0.36916983127593994,-1.8472487926483154,-0.005780220031738281,0.003409266471862793,31.063085556030273,-0.025942958891391754,-0.00031176587799564004,-0.02934635989367962,-2.694380283355713,0.02767861820757389,0.03260090947151184,0.5797419548034668,0.4870142936706543,0.48402881622314453,0.45182764530181885,-0.019233137369155884,-0.020776117220520973,-0.030528081580996513,-0.028812486678361893,93.84404754638672,93.8332290649414,87.1282958984375,87.14257049560547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067067742347717285,0.003860829398036003,0.004069967195391655,0.004742301069200039,0.02036895602941513,0.02113180235028267,0.030798189342021942,0.029200151562690735,0.009599417448043823,0.0028916988521814346,0.0043080635368824005,0.0020805709064006805,2616,4,884,2,12,-5539.26708984375,185.99282836914062,-401.8772277832031,31.063087463378906,-109616.859375,-191.65914916992188,175.27606201171875,172.67861938476562,176.5948486328125,176.5948486328125,-14.699999809265137,1.0,0.0,0.0,0.0,0.0,337.88421630859375,0,0,0,0,0,0,3,0,0,0
1,856515,9999.9951171875,849.6089477539062,5447.52392578125,0.017144083976745605,0.5793321132659912,-2.099426031112671,-0.005951881408691406,0.00174713134765625,30.98654556274414,-0.02631746046245098,-0.0003375597589183599,-0.027668874710798264,-2.694425106048584,0.0266695786267519,0.031542398035526276,0.5684799551963806,0.49024659395217896,0.509128212928772,0.45422035455703735,-0.019372599199414253,-0.02121138945221901,-0.029536627233028412,-0.029039278626441956,93.6089096069336,93.60041809082031,86.92137145996094,86.92719268798828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006541824899613857,0.004051820375025272,0.0037284528370946646,0.004643761552870274,0.020447323098778725,0.02159491367638111,0.029771022498607635,0.029408235102891922,0.008784748613834381,0.0031255166977643967,0.006044298410415649,0.002246089279651642,2616,4,884,2,12,-5539.7763671875,185.9609375,-402.93988037109375,30.986547470092773,-109056.6640625,-191.14247131347656,175.2388916015625,172.64291381835938,176.5615234375,176.5615234375,-14.699999809265137,1.0,0.0,0.0,0.0,0.0,337.9222106933594,0,0,0,0,0,0,3,0,0,0
1,856546,9999.9951171875,849.6089477539062,5433.93603515625,0.4213360846042633,0.6621934771537781,-1.9573949575424194,-0.005864143371582031,-0.0008815526962280273,30.911117553710938,-0.020454633980989456,-0.0003453358949627727,-0.027400463819503784,-2.6944656372070312,0.025779899209737778,0.030493514612317085,0.5529134273529053,0.48939982056617737,0.5094143748283386,0.4551514983177185,-0.020192600786685944,-0.022074440494179726,-0.029459521174430847,-0.028584718704223633,93.37191009521484,93.3609848022461,86.70469665527344,86.71458435058594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006361470092087984,0.004628049675375223,0.003712048288434744,0.004512590356171131,0.021170957013964653,0.022554373368620872,0.02969246916472912,0.028938721865415573,0.007658697664737701,0.003064259886741638,0.0060640908777713776,0.00231049582362175,2616,4,884,2,12,-5540.279296875,185.9304962158203,-403.9888000488281,30.911113739013672,-108460.421875,-190.57444763183594,175.20162963867188,172.6072540283203,176.5288543701172,176.5288543701172,-14.699999809265137,1.0,0.0,0.0,0.0,0.0,337.9598083496094,0,0,0,0,0,0,3,0,0,0
1,856578,9999.9951171875,849.6089477539062,5439.31494140625,0.2949899435043335,0.5867448449134827,-1.460368037223816,-0.00585174560546875,-0.002260744571685791,30.872196197509766,-0.011099815368652344,-0.0003455459082033485,-0.026014385744929314,-2.6944963932037354,0.025190284475684166,0.02948499098420143,0.5374153852462769,0.483503133058548,0.5002866983413696,0.45791396498680115,-0.003264262340962887,-0.0037991562858223915,-0.005051507614552975,-0.004844196140766144,93.39501190185547,93.3947525024414,86.82331085205078,86.82662200927734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005919874645769596,0.005114180035889149,0.003724608803167939,0.004350867122411728,0.006760201416909695,0.006370904855430126,0.006276180502027273,0.0065112425945699215,0.0065376050770282745,0.002637706696987152,0.005432691425085068,0.0025015883147716522,2616,4,884,2,12,-5540.78515625,185.90066528320312,-405.0440673828125,30.87220001220703,-13570.3310546875,-23.82493019104004,175.16278076171875,172.56982421875,176.49435424804688,176.49435424804688,-11.914349555969238,1.0,0.0,0.0,0.0,0.0,337.9977111816406,0,0,49,0,0,0,3,0,0,0
1,856609,9999.9951171875,849.6089477539062,5459.51513671875,0.5912532806396484,0.3025329113006592,-0.35136520862579346,-0.00560760498046875,-0.004751980304718018,30.88878059387207,-0.0011681867763400078,-0.00039648020174354315,-0.028423216193914413,-2.694516658782959,0.024974636733531952,0.028465839102864265,0.5171931982040405,0.4388430416584015,0.4881933331489563,0.4596041142940521,0.021624797955155373,0.0250791534781456,0.029692864045500755,0.028454314917325974,93.65145874023438,93.68041229248047,87.1865234375,87.17816925048828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005830980837345123,0.0055951401591300964,0.004007697105407715,0.004502158146351576,0.022397147491574287,0.025695709511637688,0.02996210753917694,0.028808288276195526,0.005074772983789444,-0.0005929078906774521,0.00459614023566246,0.002618502825498581,2616,4,884,2,12,-5541.2919921875,185.87115478515625,-406.101806640625,30.888778686523438,81753.984375,143.02398681640625,175.12203979492188,172.53016662597656,176.457275390625,176.457275390625,-9.121349334716797,1.0,0.0,0.0,0.0,0.0,338.03570556640625,0,0,179,0,0,0,3,0,0,0
1,856656,9999.9951171875,849.6089477539062,5492.634765625,-0.23080109059810638,0.030765177682042122,0.5118223428726196,-0.0050067901611328125,-0.013745307922363281,30.96364974975586,0.009167753159999847,-0.0005714388098567724,-0.027624206617474556,-2.694530487060547,0.025140268728137016,0.027372196316719055,0.45833685994148254,0.3840893507003784,0.47671377658843994,0.45931383967399597,0.054495032876729965,0.06018182262778282,0.06908157467842102,0.06652606278657913,94.14008331298828,94.18637084960938,87.75193786621094,87.73587799072266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005555975716561079,0.00530787231400609,0.0038287288043648005,0.004297968000173569,0.05477752536535263,0.06041543930768967,0.06918759644031525,0.06666475534439087,0.0008172336965799332,-0.004553673788905144,0.003802049905061722,0.0025984272360801697,2616,4,884,2,12,-5541.8037109375,185.84115600585938,-407.1695251464844,30.963653564453125,178984.5625,311.27618408203125,175.08377075195312,172.4931640625,176.4254150390625,176.4254150390625,-6.306300163269043,1.0,0.0,0.0,0.0,0.0,338.0740051269531,0,0,255,0,0,0,3,0,0,0
1,856687,9999.9951171875,849.6089477539062,5529.84814453125,-0.27372124791145325,-0.171983003616333,1.4514344930648804,-0.0046558380126953125,-0.016533970832824707,31.074249267578125,0.010905244387686253,-0.0006792408530600369,-0.025339914485812187,-2.6945416927337646,0.025494426488876343,0.026514539495110512,0.4667363464832306,0.3997466266155243,0.46936821937561035,0.4427374303340912,0.081026092171669,0.08545428514480591,0.10387609153985977,0.10335516184568405,94.69281768798828,94.73037719726562,88.3774642944336,88.38194274902344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0049437363632023335,0.004851554986089468,0.00348588521592319,0.0039007081650197506,0.0811767727136612,0.08559189736843109,0.10393456369638443,0.10342874377965927,0.0014248359948396683,-0.0034210607409477234,0.003293931484222412,0.0014517642557621002,2616,4,884,2,12,-5542.24169921875,185.81495666503906,-408.0839538574219,31.07425308227539,263498.6875,455.20208740234375,175.05438232421875,172.46566772460938,176.4039306640625,176.4039306640625,-3.9028501510620117,1.0,0.0,0.0,0.0,0.0,338.1067199707031,0,0,255,0,0,0,3,0,0,0
